SSC_Percentage,HSC_Percentage,Degree_Percentage,Work_Experience,Internships,Projects_Count,Aptitude_Test_Score,Communication_Score,Technical_Score,Certification_Count,Backlogs,CGPA,Extracurricular_Activities,Placement_Training,Placement_Status,Gender_Male,Gender_Other,SSC_Board_State,HSC_Board_State,HSC_Stream_Commerce,HSC_Stream_Diploma,HSC_Stream_Science,Degree_Type_B.Sc,Degree_Type_B.Tech,Degree_Type_BA,Degree_Type_BBA,Degree_Type_BCA,Specialization_Computer Science,Specialization_Data Analytics,Specialization_Finance & HR,Specialization_Information Technology,Specialization_Marketing & Finance,Specialization_Operations
-0.8073458255364541,0.10407096250284291,0.9323722498837256,1,1.413315033927179,-0.8936086540892748,-0.9882644770683532,0.6012213080352579,-0.7298903172916785,0.3599149691304208,0.19858027046559817,1.079569269532602,0,1,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.040774496862718126,-1.8232924286080257,-2.652229135649162,0,-0.9285491482222478,0.41398375751341,-0.35892940179262667,-2.143800016606837,0.3471003287830258,-1.2790420851975428,1.2627832204420086,-2.644699132656476,1,0,0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
-0.37329709522938315,-1.5585539750608635,-1.428846023044559,1,1.413315033927179,-1.5474048598906172,-1.0032041821194086,-0.318199017742507,-1.2497376936069065,-1.2790420851975428,2.326986170418419,-1.1419241633521118,0,1,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
-0.9544502069375956,-1.3106778433956863,0.5333064558641325,0,0.24238294285246562,1.0677799633147524,-0.9253932183118263,-1.7922136840294196,0.3677565159213792,0.3599149691304208,0.19858027046559817,0.7808810768758336,1,1,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2.3236165637915374,0.8215627585812988,0.42524588456191464,0,-0.9285491482222478,1.721576169116095,2.1988726004902226,0.6416758023694794,1.6495876844514221,1.9988720234583846,-0.8656226795108123,0.09016463135705712,0,1,1,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
-1.7462713216400343,-1.3191090043366789,0.44230808003068517,0,0.24238294285246562,1.0677799633147524,-0.9266381937327478,-0.18359588204864233,-0.11249983504533721,1.9988720234583846,0.19858027046559817,0.015492583192865018,0,0,1,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False
0.3377074148761323,0.29798766414566846,0.7039284105518445,0,0.24238294285246562,1.721576169116095,1.1387760295757197,2.4525660760213657,0.25873775046895886,1.9988720234583846,-0.8656226795108123,0.7342110467732138,1,1,1,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False
-0.8681852919184077,0.5104529198586772,-0.2543982349441394,1,1.413315033927179,1.0677799633147524,0.8013876905060423,-0.4292649930964608,-0.4837374205596337,0.3599149691304208,1.2627832204420086,-0.47920973589490745,1,0,1,True,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False
-1.4211887997782535,-0.39505376520390884,-1.1094038078792312,1,1.413315033927179,-0.8936086540892748,-0.352082036977559,-0.231405738989086,-0.7063652152729984,-1.2790420851975428,0.19858027046559817,-1.2539322355984,1,0,0,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False
-0.2788597145767994,-0.231489242948656,0.1408759600823942,0,-0.9285491482222478,-1.5474048598906172,1.402088331100579,-1.6296601704319107,-0.16299273693909058,-0.45956355803356097,-0.8656226795108123,0.2208407156443929,0,1,1,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False
-1.564660974231218,-1.0754484531419977,-0.2667209316715862,1,2.5842471250018924,-1.5474048598906172,-1.4489053828092409,-1.0875699463533408,-2.120740251274142,-1.2790420851975428,2.326986170418419,-0.2365255793612827,0,1,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.17897402350194969,-0.0030047814477605697,0.5333064558641325,0,1.413315033927179,-0.2398124482879324,0.8399819285546034,0.4607338822564157,0.9438346238910138,0.3599149691304208,-0.8656226795108123,0.49152689023958906,0,1,1,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
-1.2141530037322028,-1.1521720177050285,-1.6307486694250186,0,0.24238294285246562,-0.8936086540892748,-0.41619827115500696,-1.1670078625005396,-0.4108669825993312,-0.45956355803356097,1.2627832204420086,-1.449946362029404,0,1,0,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
0.34133962182430794,1.3957248186628821,1.3636666353443314,0,0.24238294285246562,-0.2398124482879324,-2.0471160725619346,-0.21816608629788622,0.14225980632768814,-0.45956355803356097,-0.8656226795108123,1.294251408004653,1,1,1,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False
0.9506423373808872,0.6976246927487102,0.9702882398143289,0,0.24238294285246562,-0.2398124482879324,0.0295029295348253,0.05618893891419913,0.23291751654601692,-0.45956355803356097,0.19858027046559817,0.9302251732042178,0,0,1,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
-1.2531992284250983,-0.914413279169042,-0.4354470868627671,0,-0.9285491482222478,0.41398375751341,-1.1843481058634608,0.19520529217179722,-0.8865330697575255,-1.2790420851975428,2.326986170418419,-0.27386160344337873,1,1,1,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False
-0.5975858742792711,-1.3680097377944347,-0.23259654073404382,0,0.24238294285246562,-0.8936086540892748,0.1266110123666874,-2.1254116100912817,0.7814540416645134,0.3599149691304208,1.2627832204420086,-0.04051145293027864,0,1,0,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
-1.556488508597821,-1.2145626086683725,-1.4269502235480291,0,0.24238294285246562,1.0677799633147524,-0.8089880164556832,-1.4134125098089807,0.2994763417696,-0.45956355803356097,0.19858027046559817,-1.3379382897831158,0,0,0,False,False,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False
1.5554047942522449,-0.08057146210489104,0.904883157184038,1,0.24238294285246562,1.0677799633147524,0.10544643021102566,-0.9426693030107646,0.649483957169477,-0.45956355803356097,0.19858027046559817,1.200911347799413,0,1,1,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
0.736342127438484,-2.2886925125508077,-0.7520456027833002,0,-0.9285491482222478,-0.2398124482879324,-1.3623795910552092,0.14151114514637547,-0.21979725156956217,0.3599149691304208,0.19858027046559817,-0.899240006818487,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
